Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2026-03-09,294.3599853515625,306.79998779296875,294.0799865722656,306.3599853515625,29312100,390.04998779296875,401.5899963378906,381.3999938964844,398.67999267578125,67018900,404.9200134277344,410.2099914550781,403.5,409.4100036621094,30131900,255.69000244140625,261.1499938964844,253.67999267578125,259.8800048828125,38218500
2026-03-10,306.1700134277344,309.510009765625,305.57000732421875,307.0400085449219,23239700,402.2200012207031,406.5899963378906,398.19000244140625,399.239990234375,59258700,410.0299987792969,410.20001220703125,402.92999267578125,405.760009765625,31706400,257.6499938964844,262.4800109863281,256.95001220703125,260.8299865722656,30590800
2026-03-11,306.75,311.4200134277344,305.9200134277344,308.70001220703125,24125700,402.2799987792969,416.3800048828125,402.1499938964844,407.82000732421875,62559900,405.57000732421875,409.010009765625,401.5899963378906,404.8800048828125,25512100,261.0899963378906,262.1300048828125,259.54998779296875,260.80999755859375,26218900
2026-03-12,306.82000732421875,308.94000244140625,301.0299987792969,303.54998779296875,24928300,405.17999267578125,406.5,394.6499938964844,395.010009765625,60973800,404.6300048828125,406.1199951171875,401.7099914550781,401.8599853515625,27263900,258.6600036621094,258.95001220703125,254.17999267578125,255.75999450683594,40794000
2026-03-13,307.010009765625,307.69000244140625,300.44000244140625,302.2799987792969,23693100,399.1700134277344,400.20001220703125,389.95001220703125,391.20001220703125,58504100,401.0,404.79998779296875,394.25,395.54998779296875,26848000,255.47999572753906,256.3299865722656,249.52000427246094,250.1199951171875,36930000
2026-03-16,304.3500061035156,306.489990234375,303.0199890136719,305.55999755859375,23519700,396.2200012207031,403.7300109863281,394.4200134277344,395.55999755859375,58068300,398.07000732421875,400.6300048828125,394.7900085449219,399.95001220703125,27733700,252.11000061035156,253.88999938964844,249.8800048828125,252.82000732421875,32074200
2026-03-17,305.8599853515625,311.4200134277344,305.5,310.9200134277344,21955200,395.69000244140625,400.1199951171875,393.0,399.2699890136719,46890500,400.2699890136719,404.3999938964844,397.75,399.4100036621094,26228300,252.9600067138672,255.1300048828125,252.17999267578125,254.22999572753906,32361600
2026-03-18,309.2699890136719,312.4700012207031,306.92999267578125,307.69000244140625,20009800,399.0,403.07000732421875,392.30999755859375,392.7799987792969,50853100,397.1300048828125,398.0,391.0,391.7900085449219,25908500,252.6300048828125,254.94000244140625,249.0,249.94000244140625,35757900
2026-03-19,304.010009765625,308.05999755859375,302.3500061035156,307.1300048828125,25075800,387.2699890136719,387.2699890136719,378.7300109863281,380.29998779296875,67078300,390.1000061035156,392.489990234375,387.05999755859375,389.0199890136719,25138800,249.39999389648438,251.8300018310547,247.3000030517578,248.9600067138672,34864100
2026-03-20,305.4599914550781,306.0,298.2699890136719,301.0,44364100,379.8500061035156,379.8900146484375,364.4599914550781,367.9599914550781,78628600,386.7900085449219,387.0,380.1199951171875,381.8699951171875,50853200,247.97999572753906,249.1999969482422,246.0,247.99000549316406,88331100
2026-03-23,302.1099853515625,305.9800109863281,300.92999267578125,302.05999755859375,29326900,373.0899963378906,385.3299865722656,372.7300109863281,380.8500061035156,74606000,383.8999938964844,387.2099914550781,381.67999267578125,383.0,29680100,253.97000122070312,254.60000610351562,250.27999877929688,251.49000549316406,40546100
2026-03-24,299.20001220703125,299.9200134277344,290.3299865722656,290.44000244140625,36864300,376.55999755859375,387.4800109863281,376.30999755859375,383.0299987792969,60004900,382.3599853515625,382.4700012207031,371.8500061035156,372.739990234375,42733600,250.35000610351562,254.8300018310547,249.5500030517578,251.63999938964844,45152300
2026-03-25,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700
2026-03-26,287.9100036621094,287.95001220703125,278.5,280.9200134277344,39080600,381.6000061035156,384.44000244140625,371.8699951171875,372.1099853515625,55522900,370.82000732421875,374.7200012207031,365.19000244140625,365.9700012207031,36836600,252.1199951171875,257.0,250.77000427246094,252.88999938964844,41796700
2026-03-27,277.2799987792969,279.3699951171875,273.95001220703125,274.3399963378906,35890600,369.69000244140625,369.8599853515625,359.4700012207031,361.8299865722656,62065700,361.8999938964844,362.45001220703125,356.510009765625,356.7699890136719,37883400,253.89999389648438,255.49000549316406,248.07000732421875,248.8000030517578,47900000
2026-03-30,276.4200134277344,277.0899963378906,272.1099853515625,273.5,35141200,365.8599853515625,367.2900085449219,352.1400146484375,355.2799987792969,67954400,361.8999938964844,365.3599853515625,356.2799987792969,358.9599914550781,44797000,250.07000732421875,250.8699951171875,245.50999450683594,246.6300048828125,39446200
2026-03-31,278.0400085449219,288.0799865722656,277.0899963378906,287.55999755859375,43875400,361.510009765625,373.3299865722656,361.0,371.75,75534900,364.54998779296875,372.8999938964844,363.07000732421875,370.1700134277344,45244400,247.91000366210938,255.47999572753906,247.10000610351562,253.7899932861328,49598100
2026-04-01,290.8399963378906,300.5199890136719,290.4100036621094,297.3900146484375,37684500,378.6300048828125,383.1400146484375,374.0799865722656,381.260009765625,58683800,373.489990234375,373.989990234375,368.20001220703125,369.3699951171875,29417200,254.0800018310547,256.17999267578125,253.3300018310547,255.6300048828125,40059400
2026-04-02,290.69000244140625,298.0799865722656,289.45001220703125,295.7699890136719,21666500,364.20001220703125,370.2799987792969,359.0299987792969,360.5899963378906,83031200,367.2099914550781,373.6400146484375,364.1499938964844,373.4599914550781,24099100,254.1999969482422,256.1300048828125,250.64999389648438,255.9199981689453,31289400
2026-04-06,295.8699951171875,300.6199951171875,295.17999267578125,299.989990234375,16915400,362.5899963378906,367.7200012207031,346.6400146484375,352.82000732421875,77286300,373.489990234375,373.7300109863281,369.5,372.8800048828125,16095200,256.510009765625,262.1600036621094,256.4599914550781,258.8599853515625,29297900
2026-04-07,302.7250061035156,303.7900085449219,297.7200012207031,300.6099853515625,7404613,346.44000244140625,348.0199890136719,337.239990234375,338.81988525390625,33450801,370.3450012207031,371.4800109863281,366.57000732421875,368.37200927734375,6242645,256.1549987792969,256.19000244140625,245.6999969482422,247.64990234375,22881630
